Product URL,Landed Cost,Asket Price,Traditional Retail,Raw Material & Milling,Manufacturing,Trims & Packaging,Transport,Raw materials,Milling,Trims,Overall Traceability,Carbon Emissions,Water,Energy,Name
https://www.asket.com/se/womens/t-shirts/long-sleeve-t-shirt-white,164 SEK,550 SEK,990 SEK,73 SEK,100%,12 SEK,4 SEK,100%,89%,83%,93% Overall traceability,5.18kg CO₂e,17.5m³,26.96kWh,The Long Sleeve T-Shirt
https://www.asket.com/se/womens/t-shirts/tank-top-white,145 SEK,500 SEK,870 SEK,48 SEK,100%,12 SEK,4 SEK,100%,91%,83%,94% Overall traceability,3.78kg CO₂e,12.83m³,19.78kWh,The Tank Top
https://www.asket.com/se/womens/t-shirts/lyocell-t-shirt-black,159 SEK,500 SEK,960 SEK,61 SEK,100%,13 SEK,5 SEK,100%,89%,83%,94% Overall traceability,5.52kg CO₂e,2.68m³,25.82kWh,The Lyocell T-Shirt
https://www.asket.com/se/womens/t-shirts/t-shirt-white,142 SEK,450 SEK,850 SEK,60 SEK,100%,3 SEK,6 SEK,100%,91%,83%,94% Overall traceability,4.28kg CO₂e,14m³,21.56kWh,The T-Shirt
https://www.asket.com/se/womens/t-shirts/tank-top-black,145 SEK,500 SEK,870 SEK,48 SEK,100%,12 SEK,4 SEK,100%,91%,83%,94% Overall traceability,3.78kg CO₂e,12.83m³,19.78kWh,The Tank Top
https://www.asket.com/se/womens/t-shirts/t-shirt-sand,142 SEK,450 SEK,850 SEK,60 SEK,100%,3 SEK,6 SEK,100%,91%,83%,94% Overall traceability,4.28kg CO₂e,14m³,21.56kWh,The T-Shirt
https://www.asket.com/se/womens/t-shirts/t-shirt-grey-melange,142 SEK,450 SEK,850 SEK,60 SEK,100%,3 SEK,6 SEK,100%,91%,83%,94% Overall traceability,4.28kg CO₂e,14m³,21.56kWh,The T-Shirt
https://www.asket.com/se/womens/t-shirts/long-sleeve-t-shirt-black,164 SEK,550 SEK,990 SEK,73 SEK,100%,12 SEK,4 SEK,100%,89%,83%,93% Overall traceability,5.18kg CO₂e,17.5m³,26.96kWh,The Long Sleeve T-Shirt
https://www.asket.com/se/womens/denim/standard-jeans-stone-bleach,468 SEK,1450 SEK,2810 SEK,110 SEK,100%,29 SEK,11 SEK,66%,100%,66%,81% Overall traceability,19.98kg CO₂e,148.41m³,111.93kWh,The Standard Jeans
https://www.asket.com/se/womens/t-shirts/t-shirt-black,142 SEK,450 SEK,850 SEK,60 SEK,100%,3 SEK,6 SEK,100%,91%,83%,94% Overall traceability,4.28kg CO₂e,14m³,21.56kWh,The T-Shirt
https://www.asket.com/se/womens/t-shirts/lyocell-t-shirt-white,159 SEK,500 SEK,960 SEK,61 SEK,100%,13 SEK,5 SEK,100%,89%,83%,94% Overall traceability,5.52kg CO₂e,2.68m³,25.82kWh,The Lyocell T-Shirt
https://www.asket.com/se/womens/denim/standard-black-jeans-grey-wash,483 SEK,1450 SEK,2900 SEK,69 SEK,100%,29 SEK,11 SEK,100%,100%,66%,89% Overall traceability,35.95kg CO₂e,119.88m³,84.9kWh,The Standard Black Jeans
https://www.asket.com/se/womens/t-shirts/t-shirt-dark-navy,142 SEK,450 SEK,850 SEK,60 SEK,100%,3 SEK,6 SEK,100%,91%,83%,94% Overall traceability,4.28kg CO₂e,14m³,21.56kWh,The T-Shirt
https://www.asket.com/se/womens/shirts/lyocell-shirt-black,352 SEK,1250 SEK,2120 SEK,109 SEK,100%,20 SEK,11 SEK,100%,100%,66%,82% Overall traceability,9.21kg CO₂e,10.32m³,40.5kWh,The Lyocell Shirt
https://www.asket.com/se/womens/denim/standard-jeans-stone-bleach,468 SEK,1450 SEK,2810 SEK,110 SEK,100%,29 SEK,11 SEK,66%,100%,66%,81% Overall traceability,19.98kg CO₂e,148.41m³,111.93kWh,The Standard Jeans
https://www.asket.com/se/womens/denim/standard-black-jeans-grey-wash,483 SEK,1450 SEK,2900 SEK,69 SEK,100%,29 SEK,11 SEK,100%,100%,66%,89% Overall traceability,35.95kg CO₂e,119.88m³,84.9kWh,The Standard Black Jeans
https://www.asket.com/se/womens/shirts/lyocell-shirt-white,352 SEK,1250 SEK,2120 SEK,109 SEK,100%,20 SEK,11 SEK,100%,100%,66%,82% Overall traceability,9.21kg CO₂e,10.32m³,40.5kWh,The Lyocell Shirt
