branch_code,bic_code_swift,bank_name,bank_branch,bank_branch_address,city,bank_phone,bank_fax
755026,ABSAZAJJ,ABSA - ITHALA,ALBERT STREET - DBN,"ALBERT STREET DURBAN, ,",,"(031), 304-6219","(031), 304-1424"
753725,ABSAZAJJ,ABSA - ITHALA,BULWER,"POLELA STORES MAIN ROAD, ,",,"(0336), 320061","(0336), 320062"
757026,ABSAZAJJ,ABSA - ITHALA,CENTRAL CARD BRANCH,"UNIT 19, SITE V1317, ISILO DRIVE",UMLAZI,,
757826,ABSAZAJJ,ABSA - ITHALA,CORPORATE BRANCH,"SITE V1317 UMLAZI, 4066,",,"(031), 907-8911","(031), 907-8864"
759126,ABSAZAJJ,ABSA - ITHALA,DEVELOPMENT C S C,", ,",,,
751030,ABSAZAJJ,ABSA - ITHALA,EMPANGENI,"SHOP 4 32 TANNER ROAD, ,",,"(0351), 924656","(0351), 25487"
752630,ABSAZAJJ,ABSA - ITHALA,ESHOWE,"4 ESHOWE PLAZA OSBORN ROAD, ESHOWE 3815,",,,
753825,ABSAZAJJ,ABSA - ITHALA,ESTCOURT,"SHOP 19B MADADENI SHOPPING CENTRE, ,",,"(03431), 91786","(03431), 92746"
754826,ABSAZAJJ,ABSA - ITHALA,HARDING,"SHOP 3B ITHALA CENTRE, MUSGRAVE STREET HARDING,",,,
753425,ABSAZAJJ,ABSA - ITHALA,HOWICK,"15 HARVARD STREET, HOWICK,",,,
751924,ABSAZAJJ,ABSA - ITHALA,INGWAVUMA,"MAIN ROAD INGWAVUMA, ,",,"(035 X), 5910107","(035 X), 5910108"
754024,ABSAZAJJ,ABSA - ITHALA,INKANDLA,"SHOP NO 2, INKANDLA SHOPPING CENTER LOT 63,",KWAZULU-NATAL,,
756926,ABSAZAJJ,ABSA - ITHALA,ITHALA BERGVILLE,"ITHALA BERGVILLE, LOT 98/1, CORNER SOUTH AND TATHAM STREET, BERGVILLE",KWA-ZULU NATAL,"(036), 448-1060","(036), 448-1063"
756226,ABSAZAJJ,ABSA - ITHALA,ITHALA DALTON,"SHOP NO.16 BASIL SHOPPING CENTRE,1 NOORDSBERG RD, DALTON, PIETERMARITZBURG",KWA-ZULU NATAL,"(033), 501-0053","(033), 501-0057"
754126,ABSAZAJJ,ABSA - ITHALA,ITHALA GARDINER STREET,"SHOP 62A & B MUTUAL MALL, 303 WEST STREET, DURBAN",KWA-ZULU NATAL,"(031), 334-2220","(031), 334-2200"
