industry; year ; value 
Mining, engineering, textiles and clothing, leather industries; 1 900 ; 6,79 
Mining, engineering, textiles and clothing, leather industries; 1 901 ; 6,29 
Mining, engineering, textiles and clothing, leather industries; 1 901 ; 7,42 
Mining, engineering, textiles and clothing, leather industries; 1 902 ; 8,31 
Mining, engineering, textiles and clothing, leather industries; 1 902 ; 9,06 
Mining, engineering, textiles and clothing, leather industries; 1 903 ; 11,27 
Mining, engineering, textiles and clothing, leather industries; 1 903 ; 12,35 
Mining, engineering, textiles and clothing, leather industries; 1 904 ; 13,11 
Mining, engineering, textiles and clothing, leather industries; 1 904 ; 14,87 
Mining, engineering, textiles and clothing, leather industries; 1 905 ; 16,14 
Mining, engineering, textiles and clothing, leather industries; 1 905 ; 17,67 
Mining, engineering, textiles and clothing, leather industries; 1 905 ; 19,52 
Mining, engineering, textiles and clothing, leather industries; 1 906 ; 21,19 
Mining, engineering, textiles and clothing, leather industries; 1 906 ; 23,09 
Mining, engineering, textiles and clothing, leather industries; 1 907 ; 25,07 
Mining, engineering, textiles and clothing, leather industries; 1 907 ; 25,87 
Mining, engineering, textiles and clothing, leather industries; 1 908 ; 27,26 
Mining, engineering, textiles and clothing, leather industries; 1 908 ; 28,45 
Mining, engineering, textiles and clothing, leather industries; 1 908 ; 29,26 
Mining, engineering, textiles and clothing, leather industries; 1 908 ; 30,80 
Mining, engineering, textiles and clothing, leather industries; 1 909 ; 31,68 
Mining, engineering, textiles and clothing, leather industries; 1 909 ; 32,69 
Mining, engineering, textiles and clothing, leather industries; 1 910 ; 35,35 
Mining, engineering, textiles and clothing, leather industries; 1 910 ; 38,13 
Mining, engineering, textiles and clothing, leather industries; 1 911 ; 40,15 
Mining, engineering, textiles and clothing, leather industries; 1 911 ; 41,16 
Mining, engineering, textiles and clothing, leather industries; 1 912 ; 42,42 
Mining, engineering, textiles and clothing, leather industries; 1 912 ; 43,69 
Mining, engineering, textiles and clothing, leather industries; 1 913 ; 46,47 
Mining, engineering, textiles and clothing, leather industries; 1 913 ; 47,99 
Mining, engineering, textiles and clothing, leather industries; 1 914 ; 48,98 
Mining, engineering, textiles and clothing, leather industries; 1 914 ; 49,79 
Mining, engineering, textiles and clothing, leather industries; 1 914 ; 50,89 
Mining, engineering, textiles and clothing, leather industries; 1 914 ; 52,54 
Mining, engineering, textiles and clothing, leather industries; 1 915 ; 53,86 
Mining, engineering, textiles and clothing, leather industries; 1 915 ; 56,29 
Mining, engineering, textiles and clothing, leather industries; 1 915 ; 57,09 
Mining, engineering, textiles and clothing, leather industries; 1 916 ; 58,48 
Mining, engineering, textiles and clothing, leather industries; 1 917 ; 61,38 
Mining, engineering, textiles and clothing, leather industries; 1 917 ; 61,89 
Mining, engineering, textiles and clothing, leather industries; 1 918 ; 64,23 
Mining, engineering, textiles and clothing, leather industries; 1 918 ; 65,34 
Mining, engineering, textiles and clothing, leather industries; 1 919 ; 67,87 
