country_code,country_name,year,maternal_deaths,female_population
ARG,Argentina,1970.0,757.0,12005.045
ARG,Argentina,1979.0,548.0,13991.784
ARG,Argentina,1986.0,369.0,15626.548
ARG,Argentina,2011.0,318.0,20996.869
ARG,Argentina,2017.0,246.0,22249.068
BOL,,1970.0,,2315.329
BOL,,1979.0,,2819.329
BOL,,1986.0,,3265.226
BOL,,2011.0,,5159.435
BOL,,2017.0,,5686.999
BRA,,1970.0,,48249.51
BRA,Brazil,1979.0,2609.0,59950.908
BRA,Brazil,1986.0,1814.0,70158.889
BRA,Brazil,2011.0,1680.0,100509.285
BRA,Brazil,2017.0,1874.0,105937.948
CHL,Chile,1970.0,439.0,4910.882
CHL,Chile,1979.0,176.0,5669.474
CHL,Chile,1986.0,129.0,6289.102
CHL,Chile,2011.0,46.0,8651.769
CHL,Chile,2017.0,58.0,9254.199
COL,,1970.0,,10455.025
COL,,1979.0,,12771.02
COL,Colombia,1986.0,625.0,14966.988
COL,Colombia,2011.0,459.0,22903.701
COL,Colombia,2017.0,485.0,24477.1
ECU,Ecuador,1970.0,529.0,3081.41
ECU,Ecuador,1979.0,424.0,3949.122
ECU,Ecuador,1986.0,330.0,4730.153
ECU,Ecuador,2011.0,239.0,7615.672
ECU,Ecuador,2017.0,211.0,8346.245
FLK,,1970.0,,1.073
FLK,,1979.0,,1.065
FLK,,1986.0,,1.105
FLK,,2011.0,,1.597
FLK,,2017.0,,1.801
GUF,French Guiana,1970.0,3.0,21.992
GUF,French Guiana,1979.0,0.0,31.146
GUF,,1986.0,,44.068
GUF,French Guiana,2011.0,0.0,117.24
GUF,,2017.0,,135.4
GUY,,1970.0,,354.307
GUY,Guyana,1979.0,8.0,389.95
GUY,,1986.0,,387.598
GUY,Guyana,2011.0,14.0,374.34
GUY,Guyana,2017.0,22.0,389.97
PRY,,1970.0,,1208.811
PRY,,1979.0,,1488.649
PRY,,1986.0,,1798.423
PRY,Paraguay,2011.0,94.0,2902.421
PRY,Paraguay,2017.0,100.0,3161.074
PER,,1970.0,,6740.704
PER,,1979.0,,8518.709
PER,,1986.0,,10116.701
PER,Peru,2011.0,148.0,14829.974
PER,Peru,2017.0,315.0,15939.422
SUR,,1970.0,,187.536
SUR,Suriname,1979.0,6.0,188.441
SUR,Suriname,1986.0,7.0,196.637
SUR,Suriname,2011.0,7.0,275.035
SUR,,2017.0,,294.024
URY,Uruguay,1970.0,50.0,1404.415
URY,,1979.0,,1495.122
URY,Uruguay,1986.0,14.0,1552.762
URY,,2011.0,,1739.923
URY,Uruguay,2017.0,8.0,1767.547
VEN,Venezuela (Bolivarian Republic of),1970.0,362.0,5646.328
VEN,Venezuela (Bolivarian Republic of),1979.0,292.0,7368.909
VEN,Venezuela (Bolivarian Republic of),1986.0,296.0,8907.283
VEN,Venezuela (Bolivarian Republic of),2011.0,436.0,14591.553
VEN,,2017.0,,15379.664
