country,iso3_alpha-code,age_group_index,population
Uganda,UGA,0,7328.968
United States of America,USA,0,19848.556
Uganda,UGA,1,6614.4205
United States of America,USA,1,20697.0755
Uganda,UGA,2,5899.4005
United States of America,USA,2,22092.1675
Uganda,UGA,3,5151.082
United States of America,USA,3,21895.1225
Uganda,UGA,4,4348.173
United States of America,USA,4,21871.8085
Uganda,UGA,5,3499.504
United States of America,USA,5,23406.9275
Uganda,UGA,6,2618.559
United States of America,USA,6,22842.1515
Uganda,UGA,7,1903.175
United States of America,USA,7,22296.9525
Uganda,UGA,8,1503.6695
United States of America,USA,8,20694.5555
Uganda,UGA,9,1234.979
United States of America,USA,9,21244.2585
Uganda,UGA,10,952.8675
United States of America,USA,10,21346.4345
Uganda,UGA,11,687.315
United States of America,USA,11,22347.5005
Uganda,UGA,12,500.2975
United States of America,USA,12,20941.0635
Uganda,UGA,13,353.2215
United States of America,USA,13,17500.8715
Uganda,UGA,14,197.1705
United States of America,USA,14,13688.5955
Uganda,UGA,15,92.682
United States of America,USA,15,9272.809
Uganda,UGA,16,43.893
United States of America,USA,16,6118.8665
Uganda,UGA,17,15.4255
United States of America,USA,17,3977.1775
Uganda,UGA,18,3.5645
United States of America,USA,18,1656.067
Uganda,UGA,19,0.6165
United States of America,USA,19,501.7545
Uganda,UGA,20,0.096
United States of America,USA,20,78.955
