country,total,density,paved_km,paved_km_2,unpaved_km,unpaved_km_2,controlled_access_km,controlled_access_km_2,source_year,iso3c,gdp_pc,pop,continent
United States,6803479,69,4304715,63,2581895,38,95932,1.4,2019,USA,65120.3946628653,328329953,Americas
India,6371847,194,4440094,70,1931751,30,3670.3,0.1,2021,IND,2256.59040870506,1407563842,Asia
China,5198000,54,4943000,95,255000,5,161000,3.1,2020,CHN,10408.6697561349,1411100000,Asia
Brazil,2000000,23,246000,12,1754000,88,11018,0.6,2018,BRA,9121.08340257783,210166592,Americas
Russia,1529373,9,927721,61,355666,23,1675,0.1,2019,RUS,11536.2509765625,144406261,Europe
France,1053215,191,1053215,100,0,0,11671,1.1,2011,FRA,43846.4660764798,65345233,Europe
Canada,1042300,10,415600,40,626700,60,17041,1.6,2014,CAN,50955.9983232404,35437435,Americas
Australia,873573,11,145928,17,727645,83,1716,0.2,2015,AUS,56710.4457244504,23815995,Oceania
Mexico,817596,42,175526,21,641986,79,10845,1.3,2020,MEX,8655.00068206803,125998302,Americas
South Africa,750000,61,158124,21,591876,79,1927,0.3,2016,ZAF,5735.06678717842,56422274,Africa
Spain,683175,135,683175,100,0,0,16205,2.4,2011,ESP,31677.9003083652,46742697,Europe
Germany,644480,180,644480,100,0,0,13183,2,2020,DEU,46772.8253507545,83160871,Europe
Sweden,573134,127,140100,24,433034,76,2050,0.4,2016,SWE,51965.1571531985,9923085,Europe
Vietnam,570448,172,148338,26,47130,8,1276,0.2,2019,VNM,3491.09127354876,95776716,Asia
Indonesia,544474,28,283102,52,213505,39,2756,0.5,2019,IDN,4151.22754296453,269582878,Asia
Italy,487700,162,487700,100,0,0,6700,1.4,2007,ITA,37870.7475070969,58438310,Europe
Finland,454000,135,78000,17,350000,77,863,0.2,2019,FIN,48629.8582283032,5521606,Europe
Turkey,438633,56,24082,5,43251,10,3250,0.7,2020,TUR,NA,NA,Asia
United Kingdom,424129,175,424129,100,0,0,12826,3,2020,GBR,40318.5575660493,67081000,Europe
